2025-03-02 04:51:42 startup archives unpack
2025-03-02 04:51:42 install libldap2:amd64 <none> 2.6.9+dfsg-1
2025-03-02 04:51:42 status triggers-pending libc-bin:amd64 2.40-3
2025-03-02 04:51:42 status half-installed libldap2:amd64 2.6.9+dfsg-1
2025-03-02 04:51:42 status unpacked libldap2:amd64 2.6.9+dfsg-1
2025-03-02 04:51:42 upgrade apache2:amd64 2.4.62-3 2.4.63-1
2025-03-02 04:51:42 status half-configured apache2:amd64 2.4.62-3
2025-03-02 04:51:42 status unpacked apache2:amd64 2.4.62-3
2025-03-02 04:51:42 status half-installed apache2:amd64 2.4.62-3
2025-03-02 04:51:42 status triggers-pending kali-menu:all 2024.4.0
2025-03-02 04:51:42 status triggers-pending man-db:amd64 2.13.0-1
2025-03-02 04:51:42 status unpacked apache2:amd64 2.4.63-1
2025-03-02 04:51:42 upgrade apache2-bin:amd64 2.4.62-3 2.4.63-1
2025-03-02 04:51:42 status half-configured apache2-bin:amd64 2.4.62-3
2025-03-02 04:51:42 status unpacked apache2-bin:amd64 2.4.62-3
2025-03-02 04:51:42 status half-installed apache2-bin:amd64 2.4.62-3
2025-03-02 04:51:43 status unpacked apache2-bin:amd64 2.4.63-1
2025-03-02 04:51:43 upgrade apache2-data:all 2.4.62-3 2.4.63-1
2025-03-02 04:51:43 status half-configured apache2-data:all 2.4.62-3
2025-03-02 04:51:43 status unpacked apache2-data:all 2.4.62-3
2025-03-02 04:51:43 status half-installed apache2-data:all 2.4.62-3
2025-03-02 04:51:43 status unpacked apache2-data:all 2.4.63-1
2025-03-02 04:51:43 upgrade apache2-utils:amd64 2.4.62-3 2.4.63-1
2025-03-02 04:51:43 status half-configured apache2-utils:amd64 2.4.62-3
2025-03-02 04:51:43 status unpacked apache2-utils:amd64 2.4.62-3
2025-03-02 04:51:43 status half-installed apache2-utils:amd64 2.4.62-3
2025-03-02 04:51:43 status unpacked apache2-utils:amd64 2.4.63-1
2025-03-02 04:51:43 upgrade ldap-utils:amd64 2.5.18+dfsg-3+b1 2.6.9+dfsg-1
2025-03-02 04:51:43 status half-configured ldap-utils:amd64 2.5.18+dfsg-3+b1
2025-03-02 04:51:43 status unpacked ldap-utils:amd64 2.5.18+dfsg-3+b1
2025-03-02 04:51:43 status half-installed ldap-utils:amd64 2.5.18+dfsg-3+b1
2025-03-02 04:51:43 status unpacked ldap-utils:amd64 2.6.9+dfsg-1
2025-03-02 04:51:43 upgrade libldap-common:all 2.5.18+dfsg-3 2.6.9+dfsg-1
2025-03-02 04:51:43 status half-configured libldap-common:all 2.5.18+dfsg-3
2025-03-02 04:51:43 status unpacked libldap-common:all 2.5.18+dfsg-3
2025-03-02 04:51:43 status half-installed libldap-common:all 2.5.18+dfsg-3
2025-03-02 04:51:43 status unpacked libldap-common:all 2.6.9+dfsg-1
2025-03-02 04:51:43 startup packages configure
2025-03-02 04:51:43 configure libldap-common:all 2.6.9+dfsg-1 <none>
2025-03-02 04:51:43 status unpacked libldap-common:all 2.6.9+dfsg-1
2025-03-02 04:51:43 status half-configured libldap-common:all 2.6.9+dfsg-1
2025-03-02 04:51:43 status installed libldap-common:all 2.6.9+dfsg-1
2025-03-02 04:51:43 configure apache2-data:all 2.4.63-1 <none>
2025-03-02 04:51:43 status unpacked apache2-data:all 2.4.63-1
2025-03-02 04:51:43 status half-configured apache2-data:all 2.4.63-1
2025-03-02 04:51:43 status installed apache2-data:all 2.4.63-1
2025-03-02 04:51:43 configure libldap2:amd64 2.6.9+dfsg-1 <none>
2025-03-02 04:51:43 status unpacked libldap2:amd64 2.6.9+dfsg-1
2025-03-02 04:51:43 status half-configured libldap2:amd64 2.6.9+dfsg-1
2025-03-02 04:51:43 status installed libldap2:amd64 2.6.9+dfsg-1
2025-03-02 04:51:43 configure apache2-utils:amd64 2.4.63-1 <none>
2025-03-02 04:51:43 status unpacked apache2-utils:amd64 2.4.63-1
2025-03-02 04:51:43 status half-configured apache2-utils:amd64 2.4.63-1
2025-03-02 04:51:43 status installed apache2-utils:amd64 2.4.63-1
2025-03-02 04:51:43 configure apache2-bin:amd64 2.4.63-1 <none>
2025-03-02 04:51:43 status unpacked apache2-bin:amd64 2.4.63-1
2025-03-02 04:51:43 status half-configured apache2-bin:amd64 2.4.63-1
2025-03-02 04:51:43 status installed apache2-bin:amd64 2.4.63-1
2025-03-02 04:51:43 configure ldap-utils:amd64 2.6.9+dfsg-1 <none>
2025-03-02 04:51:43 status unpacked ldap-utils:amd64 2.6.9+dfsg-1
2025-03-02 04:51:44 status half-configured ldap-utils:amd64 2.6.9+dfsg-1
2025-03-02 04:51:44 status installed ldap-utils:amd64 2.6.9+dfsg-1
2025-03-02 04:51:44 configure apache2:amd64 2.4.63-1 <none>
2025-03-02 04:51:44 status unpacked apache2:amd64 2.4.63-1
2025-03-02 04:51:44 status half-configured apache2:amd64 2.4.63-1
2025-03-02 04:51:46 status installed apache2:amd64 2.4.63-1
2025-03-02 04:51:46 trigproc man-db:amd64 2.13.0-1 <none>
2025-03-02 04:51:46 status half-configured man-db:amd64 2.13.0-1
2025-03-02 04:51:47 status installed man-db:amd64 2.13.0-1
2025-03-02 04:51:47 trigproc kali-menu:all 2024.4.0 <none>
2025-03-02 04:51:47 status half-configured kali-menu:all 2024.4.0
2025-03-02 04:51:47 status installed kali-menu:all 2024.4.0
2025-03-02 04:51:47 trigproc libc-bin:amd64 2.40-3 <none>
2025-03-02 04:51:47 status half-configured libc-bin:amd64 2.40-3
2025-03-02 04:51:47 status installed libc-bin:amd64 2.40-3
